forecast_month,gdp_growth_point,gdp_growth_lower,gdp_growth_upper,cpi_change_point,cpi_change_lower,cpi_change_upper,yield_spread_point,yield_spread_lower,yield_spread_upper
1,0.9844118967916389,-0.32621715412871866,2.295040947711996,0.3121775769183723,-0.16306065812499088,0.7874158119617354,-1.0642009171531408,-1.986716187675905,-0.14168564663037653
2,0.876642031876188,-0.4339870190441695,2.1872710827965456,0.3210808147376189,-0.15415742030574425,0.796319049780982,-0.9146288776086866,-1.837144148131451,0.007886392914077667
3,0.8143665454871039,-0.4962625054332537,2.1249955964074614,0.31366347121348903,-0.16157476382987412,0.7889017062568522,-0.772550539153595,-1.6950658096763593,0.14996473136916932
4,0.7797008029321264,-0.5309282479882311,2.090329853852484,0.3064793793133599,-0.16875885573000327,0.781717614356723,-0.640183716184677,-1.5626989867074412,0.2823315543380873
5,0.7590079171105832,-0.5516211338097743,2.0696369680309408,0.30155612430669265,-0.1736821107366705,0.7767943593500558,-0.5173884472133019,-1.4399037177360663,0.40512682330946237
6,0.7449522957911027,-0.5656767551292549,2.05558134671146,0.2982446653987878,-0.17699356964457535,0.773482900442151,-0.40352355820157554,-1.3260388287243399,0.5189917123211887
7,0.7340793746666388,-0.5765496762537188,2.0447084255869963,0.29583395627512815,-0.179404278768235,0.7710721913184913,-0.2979102339679243,-1.2204255044906887,0.6246050365548399
8,0.7248662136829285,-0.5857628372374291,2.035495264603286,0.2939034568023783,-0.18133477824098487,0.7691416918457414,-0.19992359817972938,-1.1224388687024938,0.7225916723430349
9,0.716659107760821,-0.5939699431595366,2.0272881586811784,0.29224389212811386,-0.1829943429152493,0.767482127171477,-0.10899773297907951,-1.0315130035018438,0.8135175375436847
10,0.7091731270526155,-0.601455923867742,2.019802177972973,0.29075785805956145,-0.1844803769838017,0.7659960931029246,-0.024616588929750008,-0.9471318594525143,0.8978986815930142
11,0.7022742746117128,-0.6083547763086448,2.0129033255320703,0.2894001358276191,-0.18583809921574407,0.7646383708709823,0.053694103604786714,-0.8688211669179775,0.976209374127551
12,0.695889353490379,-0.6147396974299786,2.0065184044107367,0.28814830281674303,-0.18708993222662013,0.7633865378601061,0.1263723846342334,-0.7961428858885309,1.0488876551569977
13,0.6899699707559641,-0.6206590801643934,2.0005990216763214,0.28698959237896854,-0.18824864266439462,0.7622278274223317,0.19382388985833066,-0.7286913806644336,1.116339160381095
14,0.6844785084776503,-0.6261505424427072,1.9951075593980079,0.2859153478440221,-0.18932288719934104,0.7611535828873852,0.2564247172127,-0.6660905533100643,1.1789399877354643
15,0.6793827225921379,-0.6312463283282196,1.9900117735124954,0.28491876584138903,-0.19031946920197412,0.7601570008847522,0.3145237741560314,-0.6079914963667329,1.2370390446787956
16,0.674653645766865,-0.6359754051534925,1.9852826966872226,0.2839939955647675,-0.19124423947859565,0.7592322306081307,0.3684448222902168,-0.5540704482325475,1.290960092812981
