Month,gdp_growth,cpi_change,yield_spread
1,0.0,0.5,0.0
2,0.03910066670541004,0.10311641294386452,-0.002760329683831088
3,0.027414122978514817,0.009368212931911707,-0.004820667350426182
4,0.01436041380122951,-0.006726962024398757,-0.005710398198368039
5,0.006679977406369906,-0.006273420350001599,-0.005883288351175909
6,0.0029296415041795186,-0.003921467976175521,-0.005714395105424865
7,0.0012596141034198342,-0.0023057853084366008,-0.005408579986650579
8,0.0005555201745362629,-0.0014437497801097117,-0.0050615072016574475
9,0.00026820069303284114,-0.001019026139913521,-0.004713718231679265
10,0.00015230049470997263,-0.0008079951229251699,-0.004380858491260818
11,0.00010458164282911106,-0.0006935059270215702,-0.004068081906040452
12,8.337777750093066e-05,-0.0006213524794066815,-0.0037763579335790606
13,7.239057242592268e-05,-0.0005681072642838281,-0.0035050852604381847
14,6.539792809159286e-05,-0.0005240398072581452,-0.0032531309052918466
15,6.006689756263872e-05,-0.000485173787736325,-0.003019228196888021
16,5.5530598028596484e-05,-0.0004498581043546792,-0.00280212266129391
17,5.146391229617471e-05,-0.0004173572555495682,-0.0026006216547916987
18,4.77387316469344e-05,-0.0003872920113073833,-0.0024136082736632165
19,4.429789004433001e-05,-0.0003594233623074562,-0.0022400424555707936
20,4.11098831464523e-05,-0.000333570702812221,-0.002078957747404242
21,3.815285694030706e-05,-0.00030958117502778324,-0.0019294568006176895
22,3.5409009946708604e-05,-0.00028731810383934636,-0.001790706667774871
23,3.286263629230569e-05,-0.0002666564346155187,-0.0016619342591549994
24,3.0499420887831613e-05,-0.0002474807124769343,-0.0015424220665687775
