Month,gdp_growth,cpi_change,yield_spread
1,1.0,0.0,0.0
2,0.4933910883888632,-0.29652323391386626,-0.043208467251936944
3,0.2211598078898291,-0.2122058596261528,-0.059784306788278944
4,0.09378751320488932,-0.11591659475531876,-0.06387146428897245
5,0.03855952153505765,-0.05873915824580245,-0.06269285506728169
6,0.015756955126537145,-0.030441313803063696,-0.05952830468714032
7,0.006652393334725277,-0.017495911203890144,-0.05576218135255784
8,0.0030930045048310944,-0.011712314974789683,-0.05194484037569957
9,0.001708408898570675,-0.009044359144703116,-0.04828002381723205
10,0.0011564144690654403,-0.0076805986291380015,-0.04483353729760934
11,0.0009178443668282037,-0.006856698713558178,-0.04161846263221897
12,0.0007965899429221298,-0.006262518940946601,-0.038628728109822
13,0.0007200179610575518,-0.005775279764790348,-0.03585193708013526
14,0.000661631252337428,-0.005346759460010916,-0.03327412341870374
15,0.0006118320680175769,-0.004957620411493068,-0.030881446201298467
16,0.0005671045538436394,-0.004599506693216453,-0.028660751443220493
17,0.000526089349294589,-0.004268206121413722,-0.02659972488518602
18,0.00048818479673488484,-0.003961092872964493,-0.02468690193637054
19,0.00045305699135245116,-0.0036761863886907355,-0.022911630581570072
20,0.00042047085492979335,-0.0034118079280949756,-0.02126402098008281
21,0.000390232581397634,-0.003166454107118591,-0.019734893284429633
22,0.0003621700262342,-0.002938748013499786,-0.01831572742118622
23,0.0003361257918328871,-0.0027274177881607456,-0.016998615904105993
24,0.00031195449317901876,-0.002531284969065648,-0.015776219858515107
