IMPULSE RESPONSE ANALYSIS SUMMARY
================================================================================

Shock Type: custom


Shock to GDP_GROWTH
--------------------------------------------------------------------------------
 Month  gdp_growth  cpi_change  yield_spread
     1    1.000000    0.000000      0.000000
     2    0.493391   -0.296523     -0.043208
     3    0.221160   -0.212206     -0.059784
     4    0.093788   -0.115917     -0.063871
     5    0.038560   -0.058739     -0.062693
     6    0.015757   -0.030441     -0.059528
     7    0.006652   -0.017496     -0.055762
     8    0.003093   -0.011712     -0.051945
     9    0.001708   -0.009044     -0.048280
    10    0.001156   -0.007681     -0.044834
    11    0.000918   -0.006857     -0.041618
    12    0.000797   -0.006263     -0.038629
    13    0.000720   -0.005775     -0.035852
    14    0.000662   -0.005347     -0.033274
    15    0.000612   -0.004958     -0.030881
    16    0.000567   -0.004600     -0.028661
    17    0.000526   -0.004268     -0.026600
    18    0.000488   -0.003961     -0.024687
    19    0.000453   -0.003676     -0.022912
    20    0.000420   -0.003412     -0.021264
    21    0.000390   -0.003166     -0.019735
    22    0.000362   -0.002939     -0.018316
    23    0.000336   -0.002727     -0.016999
    24    0.000312   -0.002531     -0.015776


Shock to CPI_CHANGE
--------------------------------------------------------------------------------
 Month  gdp_growth  cpi_change  yield_spread
     1    0.000000    0.500000      0.000000
     2    0.039101    0.103116     -0.002760
     3    0.027414    0.009368     -0.004821
     4    0.014360   -0.006727     -0.005710
     5    0.006680   -0.006273     -0.005883
     6    0.002930   -0.003921     -0.005714
     7    0.001260   -0.002306     -0.005409
     8    0.000556   -0.001444     -0.005062
     9    0.000268   -0.001019     -0.004714
    10    0.000152   -0.000808     -0.004381
    11    0.000105   -0.000694     -0.004068
    12    0.000083   -0.000621     -0.003776
    13    0.000072   -0.000568     -0.003505
    14    0.000065   -0.000524     -0.003253
    15    0.000060   -0.000485     -0.003019
    16    0.000056   -0.000450     -0.002802
    17    0.000051   -0.000417     -0.002601
    18    0.000048   -0.000387     -0.002414
    19    0.000044   -0.000359     -0.002240
    20    0.000041   -0.000334     -0.002079
    21    0.000038   -0.000310     -0.001929
    22    0.000035   -0.000287     -0.001791
    23    0.000033   -0.000267     -0.001662
    24    0.000030   -0.000247     -0.001542


Shock to YIELD_SPREAD
--------------------------------------------------------------------------------
 Month  gdp_growth  cpi_change  yield_spread
     1   -0.000000   -0.000000    -50.000000
     2    1.057147   -5.497897    -46.405994
     3    1.072803   -6.550023    -43.085652
     4    0.928048   -6.406550    -39.998845
     5    0.802583   -5.994619    -37.128454
     6    0.712205   -5.556840    -34.461241
     7    0.645455   -5.146475    -31.984259
     8    0.592242   -4.769688    -29.684704
     9    0.546833   -4.423349    -27.550223
    10    0.506383   -4.103754    -25.569117
    11    0.469532   -3.808011    -23.730431
    12    0.435603   -3.533913    -22.023950
    13    0.404217   -3.279683    -20.440178
    14    0.375127   -3.043798    -18.970296
    15    0.348143   -2.824900    -17.606114
    16    0.323105   -2.621751    -16.340032
    17    0.299869   -2.433216    -15.164995
    18    0.278305   -2.258239    -14.074458
    19    0.258291   -2.095845    -13.062342
    20    0.239717   -1.945130    -12.123010
    21    0.222479   -1.805252    -11.251226
    22    0.206480   -1.675434    -10.442133
    23    0.191632   -1.554951     -9.691224
    24    0.177851   -1.443132     -8.994313

