Month,gdp_growth,cpi_change,yield_spread
1,-0.0,-0.0,-50.0
2,1.0571470428564989,-5.497896990510752,-46.40599449922582
3,1.072803251562191,-6.550023042642006,-43.085652196102174
4,0.9280484242822398,-6.406550402083197,-39.998844514251616
5,0.802583242046012,-5.9946194511868525,-37.12845433753213
6,0.7122048991175869,-5.556840235249047,-34.4612410947476
7,0.6454552167136816,-5.146475238699255,-31.984259153547896
8,0.5922419254911637,-4.769687842924827,-29.684704280684134
9,0.5468328859053994,-4.423348620034248,-27.5502225151834
10,0.5063834377553922,-4.103754050617938,-25.56911749968826
11,0.46953237581276625,-3.80801073220184,-23.730431144756892
12,0.4356026752429625,-3.533913392301679,-22.023950187520047
13,0.40421681486199296,-3.279683448403945,-20.44017841691995
14,0.3751268387773764,-3.0437979708045386,-18.970295717430876
15,0.3481430197140871,-2.824899514991753,-17.606113658183528
16,0.32310477438666746,-2.621751489814134,-16.340031689784347
17,0.29986887754374664,-2.433215512156191,-15.164995479407267
18,0.2783045368585016,-2.2582386605320695,-14.074457856527658
19,0.2582911339874351,-2.095845091622109,-13.062342423443397
20,0.23971699624632656,-1.9451296401867955,-12.123009730152495
21,0.2224785758987934,-1.8052524155915426,-11.25122586284298
22,0.20647980365184776,-1.6754339901277782,-10.442133284614624
23,0.19163152944317627,-1.554951008689049,-9.691223770801958
24,0.17785101763288588,-1.4431321415464353,-8.994313289784053
