,observation_date_x,CPIAUCSL,date,1 mo,2 mo,3 mo,4 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr,Unnamed: 0,Monthly Nominal GDP Index,Monthly Real GDP Index,observation_date_y,UNRATE
528,1992-01-01,138.3,1992-01,,,3.96,,4.01,4.13,4.77,5.13,5.98,6.46,6.78,,7.46,1992 - Jan,6310.1770361833,10168.5012331398,1/1/1992,7.3
529,1992-02-01,138.6,1992-02,,,3.96,,4.06,4.23,5.15,5.72,6.52,6.98,7.36,,7.82,1992 - Feb,6352.47528352062,10216.039265172,2/1/1992,7.4
530,1992-03-01,139.1,1992-03,,,4.14,,4.28,4.5,5.45,5.94,6.73,7.07,7.38,,7.9,1992 - Mar,6426.65368029427,10322.8951953636,3/1/1992,7.4
531,1992-04-01,139.4,1992-04,,,4.11,,4.26,4.48,5.53,6.07,6.82,7.17,7.46,,7.9,1992 - Apr,6443.69544969042,10314.5995807539,4/1/1992,7.4
532,1992-05-01,139.7,1992-05,,,3.72,,3.89,4.28,5.33,5.97,6.82,7.2,7.56,,8.01,1992 - May,6429.30243222912,10285.8780458385,5/1/1992,7.6
533,1992-06-01,140.1,1992-06,,,3.82,,4.01,4.32,5.29,5.84,6.69,7.06,7.39,,7.9,1992 - Jun,6539.29111808101,10439.863909224,6/1/1992,7.8
534,1992-07-01,140.5,1992-07,,,3.63,,3.75,4.04,4.82,5.38,6.27,6.73,7.1,,7.76,1992 - Jul,6558.36328780802,10452.6023410728,7/1/1992,7.7
535,1992-08-01,140.8,1992-08,,,3.25,,3.38,3.61,4.4,4.97,5.82,6.28,6.72,,7.46,1992 - Aug,6553.7822950013,10425.7710017241,8/1/1992,7.6
536,1992-09-01,141.1,1992-09,,,3.22,,3.32,3.45,4.12,4.64,5.52,6.11,6.56,,7.38,1992 - Sep,6587.77741719968,10468.7344847547,9/1/1992,7.6
537,1992-10-01,141.7,1992-10,,,2.67,,2.83,2.96,3.67,4.18,5.18,5.8,6.23,,7.3,1992 - Oct,6637.68269020748,10525.1412612803,10/1/1992,7.3
538,1992-11-01,142.1,1992-11,,,3.08,,3.35,3.62,4.47,5.07,5.96,6.46,6.88,,7.66,1992 - Nov,6676.68043325496,10549.405950689,11/1/1992,7.4
539,1992-12-01,142.3,1992-12,,,3.4,,3.59,3.86,4.81,5.39,6.24,6.61,6.94,,7.57,1992 - Dec,6728.04587654264,10599.3541919476,12/1/1992,7.4
540,1993-01-01,142.8,1993-01,,,3.19,,3.37,3.56,4.48,5.03,5.9,6.33,6.6,,7.33,1993 - Jan,6705.78871634957,10558.1359973637,1/1/1993,7.3
541,1993-02-01,143.1,1993-02,,,3.01,,3.17,3.4,4.19,4.69,5.55,5.97,6.38,,7.21,1993 - Feb,6738.17012322826,10588.900085354,2/1/1993,7.1
